x4>3,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
2,3,1,4,1,,2,3,1,4,1
1,2,3,3,0,,1,2,3,3,0
2,1,2,2,0,,2,1,2,2,0
,,,,,,,,,,
x1>3,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
1,2,3,3,0,,1,2,3,3,0
2,1,2,2,0,,2,1,2,2,0
2,3,1,4,0,,2,3,1,4,0
,,,,,,,,,,
x2>2,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
2,3,1,4,1,,2,3,1,4,1
1,2,3,3,0,,1,2,3,3,0
2,1,2,2,0,,2,1,2,2,0
,,,,,,,,,,
x4<4,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
1,2,3,3,1,,1,2,3,3,1
2,1,2,2,1,,2,1,2,2,1
2,3,1,4,0,,2,3,1,4,0
,,,,,,,,,,
x1>1 & x4>2,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
2,3,1,4,1,,2,3,1,4,1
1,2,3,3,0,,1,2,3,3,0
2,1,2,2,0,,2,1,2,2,0
,,,,,,,,,,
x2>2 & x4<4,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
1,2,3,3,0,,1,2,3,3,0
2,1,2,2,0,,2,1,2,2,0
2,3,1,4,0,,2,3,1,4,0
x2<4,,,,,,,,,,
,,,,,,,k-value representation,,,
a_kv,b_kv,c_kv,d_kv,class,,a_kv,b_kv,c_kv,d_kv,class
1,2,3,3,1,,1,2,3,3,1
2,1,2,2,1,,2,1,2,2,1
2,3,1,4,1,,2,3,1,4,1
